run_id,best_target,best_family,best_d_total,second_best_target,second_best_family,second_best_d_total,delta_margin
129.0,delta_1232,delta_like,7.772771655026991,neutron,nucleon_like,8.582588722566442,0.8098170675394503
130.0,deuteron,nucleus,1.8457141011428404,delta_1232,delta_like,6.611086885125378,4.765372783982537
131.0,deuteron,nucleus,1.91368401915791,delta_1232,delta_like,7.018695576318924,5.105011557161014
132.0,eta_prime,eta_prime_like,0.05619047562856937,quark_s_const,quark_like,3.769841238425928,3.7136507627973585
133.0,tau,lepton,4.928695159304371,deuteron,nucleus,4.9513038526957285,0.022608693391357626
134.0,tau,lepton,1.2673682943158098,delta_1232,delta_like,5.877391240976982,4.6100229466611715
135.0,delta_1232,delta_like,7.6799999232000005,eta_prime,eta_prime_like,10.4199998958,2.7399999725999997
136.0,eta_prime,eta_prime_like,0.4199999958000004,quark_s_const,quark_like,4.1666666319444445,3.746666636144444
137.0,delta_1232,delta_like,5.004362690143525,eta_prime,eta_prime_like,6.890588166388233,1.8862254762447082
138.0,eta_prime,eta_prime_like,3.9914285315142846,delta_1232,delta_like,4.974570338056907,0.9831418065426223
139.0,deuteron,nucleus,4.439999556000067,delta_1232,delta_like,8.570434694182232,4.130435138182166
140.0,tau,lepton,2.6799997320000424,delta_1232,delta_like,5.4494021152237515,2.769402383223709
141.0,deuteron,nucleus,6.189999381000069,delta_1232,delta_like,7.482350462551588,1.2923510815515193
142.0,delta_1232,delta_like,4.957056806046711,eta_prime,eta_prime_like,7.343076849646157,2.386020043599446
143.0,delta_1232,delta_like,4.465578293793631,eta_prime,eta_prime_like,6.26905654108302,1.803478247289389
144.0,tau,lepton,3.9957890741052897,delta_1232,delta_like,4.979221914970243,0.9834328408649529
145.0,delta_1232,delta_like,4.880289801030905,eta_prime,eta_prime_like,5.0866666158,0.20637681476909453
146.0,eta_prime,eta_prime_like,0.3492307657384629,quark_s_const,quark_like,3.525640996260683,3.17641023052222
147.0,deuteron,nucleus,6.090793041714331,delta_1232,delta_like,7.471594122089536,1.380801080375205
148.0,deuteron,nucleus,4.545262703368427,delta_1232,delta_like,8.58713949949722,4.0418767961287925
149.0,deuteron,nucleus,1.8457141011428404,delta_1232,delta_like,6.611086885125378,4.765372783982537
150.0,deuteron,nucleus,7.3117941406154605,delta_1232,delta_like,7.603979850853255,0.2921857102377947
151.0,delta_1232,delta_like,7.6799999232000005,eta_prime,eta_prime_like,10.4199998958,2.7399999725999997
152.0,delta_1232,delta_like,4.8213383957794225,eta_prime,eta_prime_like,6.890588166388238,2.069249770608815
