run_id,best_target,best_family,best_d_total
0.0,delta_1232,delta_like,4.216073685818494
1.0,kaon,kaon_like,5.107445446200115
2.0,phi,phi_like,0.9999999500000034
3.0,pion,pion_like,0.0
4.0,quark_ud_const,quark_like,8.449193940131721
5.0,pion,pion_like,0.0
6.0,pion,pion_like,0.0
7.0,delta_1232,delta_like,2.672101388765822
8.0,phi,phi_like,9.139534426744218
9.0,delta_1232,delta_like,8.857729247777536
10.0,delta_1232,delta_like,6.364209055630906
11.0,pion,pion_like,0.0
12.0,delta_1232,delta_like,7.741921439115172
13.0,pion,pion_like,0.0
14.0,delta_1232,delta_like,4.5538991286512935
15.0,quark_ud_const,quark_like,6.948226844919574
16.0,phi,phi_like,0.9999999500000034
17.0,pion,pion_like,0.0
18.0,delta_1232,delta_like,6.347161678287243
19.0,quark_ud_const,quark_like,8.225835741439436
20.0,phi,phi_like,0.9999999500000034
21.0,pion,pion_like,0.0
22.0,pion,pion_like,0.0
23.0,pion,pion_like,0.0
24.0,pion,pion_like,0.0
25.0,delta_1232,delta_like,2.851207655183673
26.0,delta_1232,delta_like,3.0888082960091605
27.0,kaon,kaon_like,5.107445446200115
28.0,delta_1232,delta_like,12.2051526737646
29.0,proton,nucleon_like,12.413082017519352
30.0,delta_1232,delta_like,0.0
31.0,pion,pion_like,0.0
32.0,quark_ud_const,quark_like,8.41010625536057
33.0,pion,pion_like,0.0
34.0,delta_1232,delta_like,16.60805843348365
35.0,delta_1232,delta_like,3.0888082960091667
36.0,kaon,kaon_like,5.107445446200115
37.0,proton,nucleon_like,3.666986925324479
38.0,kaon,kaon_like,5.107445446200115
39.0,proton,nucleon_like,2.8753603266132317
40.0,proton,nucleon_like,2.84615945594817
41.0,pion,pion_like,0.0
42.0,delta_1232,delta_like,7.74192143911518
43.0,proton,nucleon_like,7.285851376575877
44.0,delta_1232,delta_like,11.175176234999356
45.0,pion,pion_like,0.0
46.0,phi,phi_like,0.9999999500000034
47.0,delta_1232,delta_like,3.088808296009166
48.0,proton,nucleon_like,0.019960079441910167
49.0,delta_1232,delta_like,2.851207655183676
50.0,pion,pion_like,0.0
51.0,pion,pion_like,0.0
52.0,delta_1232,delta_like,4.553899128651303
53.0,delta_1232,delta_like,6.591415681284137
54.0,delta_1232,delta_like,4.559178640719092
55.0,pion,pion_like,0.0
56.0,delta_1232,delta_like,2.6721013887658165
57.0,delta_1232,delta_like,2.851207655183669
58.0,proton,nucleon_like,0.0
59.0,kaon,kaon_like,5.107445446200115
60.0,phi,phi_like,0.9999999500000034
61.0,delta_1232,delta_like,17.161285593683154
62.0,proton,nucleon_like,2.4395652601534046
63.0,delta_1232,delta_like,3.088808296009163
64.0,kaon,kaon_like,5.107445446200115
65.0,proton,nucleon_like,5.928777207356598
66.0,quark_ud_const,quark_like,9.087779456235845
67.0,delta_1232,delta_like,6.347161678287234
68.0,quark_ud_const,quark_like,8.89798418611551
69.0,pion,pion_like,0.0
70.0,pion,pion_like,0.0
71.0,pion,pion_like,0.0
72.0,pion,pion_like,0.0
73.0,proton,nucleon_like,0.0
74.0,delta_1232,delta_like,17.219242724751673
